Movie_Title,Genre,Year,Budget_Million,Box_Office_Million,IMDb_Rating,Director,Main_Actor,Runtime_Minutes
Movie 1,Comedy,2021,164,642,8.5,Jordan Peele,Meryl Streep,83
Movie 2,Thriller,2006,99,408,4.0,Jordan Peele,Scarlett Johansson,123
Movie 3,Animation,2011,168,58,4.7,Steven Spielberg,Emma Stone,137
Movie 4,Comedy,2015,92,102,7.2,Greta Gerwig,Robert Downey Jr.,162
Movie 5,Comedy,1983,211,754,8.9,Sofia Coppola,Brad Pitt,112
Movie 6,Drama,1983,31,739,4.5,Jordan Peele,Tom Hanks,111
Movie 7,Animation,1981,126,221,7.5,James Cameron,Denzel Washington,140
Movie 8,Animation,2016,163,850,3.6,Jordan Peele,Meryl Streep,106
Movie 9,Drama,1985,283,823,4.4,James Cameron,Tom Hanks,137
Movie 10,Sci-Fi,2016,52,672,8.2,Wes Anderson,Denzel Washington,102
Movie 11,Romance,1990,273,132,3.8,Martin Scorsese,Emma Stone,108
Movie 12,Drama,2001,233,876,8.7,Greta Gerwig,Brad Pitt,87
Movie 13,Romance,2002,186,795,8.8,Wes Anderson,Scarlett Johansson,139
Movie 14,Sci-Fi,2011,284,713,6.4,Denis Villeneuve,Robert Downey Jr.,155
Movie 15,Horror,2021,290,873,3.8,Jordan Peele,Denzel Washington,97
Movie 16,Sci-Fi,2007,101,568,4.1,Quentin Tarantino,Emma Stone,130
Movie 17,Horror,2014,171,281,7.0,Sofia Coppola,Denzel Washington,163
Movie 18,Animation,1994,225,462,7.2,Martin Scorsese,Denzel Washington,175
Movie 19,Sci-Fi,2014,63,626,9.5,Jordan Peele,Christian Bale,159
Movie 20,Comedy,2022,126,748,6.5,Wes Anderson,Emma Stone,114
Movie 21,Horror,1995,48,338,9.1,Greta Gerwig,Natalie Portman,159
Movie 22,Action,1997,56,223,7.2,Jordan Peele,Denzel Washington,103
Movie 23,Drama,2005,279,167,7.0,Jordan Peele,Tom Hanks,109
Movie 24,Animation,1987,96,238,7.7,Martin Scorsese,Emma Stone,175
Movie 25,Drama,1980,106,90,7.5,Sofia Coppola,Leonardo DiCaprio,125
Movie 26,Romance,2009,247,885,6.9,Christopher Nolan,Scarlett Johansson,171
Movie 27,Horror,1992,212,575,9.0,Christopher Nolan,Emma Stone,148
Movie 28,Action,2004,36,262,9.5,Steven Spielberg,Robert Downey Jr.,134
Movie 29,Documentary,2013,248,415,8.9,Denis Villeneuve,Meryl Streep,154
Movie 30,Drama,2021,275,881,7.9,Denis Villeneuve,Scarlett Johansson,114
Movie 31,Animation,2002,219,404,5.3,Sofia Coppola,Meryl Streep,76
Movie 32,Action,2017,222,461,8.6,Jordan Peele,Meryl Streep,132
Movie 33,Thriller,1998,27,970,3.7,Quentin Tarantino,Robert Downey Jr.,127
Movie 34,Thriller,2020,78,558,6.3,Denis Villeneuve,Natalie Portman,151
Movie 35,Romance,2019,141,680,9.5,Denis Villeneuve,Emma Stone,114
Movie 36,Romance,1992,28,694,7.3,Jordan Peele,Meryl Streep,150
Movie 37,Action,1990,62,255,4.8,Wes Anderson,Emma Stone,87
Movie 38,Drama,2004,62,896,4.4,James Cameron,Emma Stone,147
Movie 39,Thriller,1985,246,975,5.9,Sofia Coppola,Denzel Washington,94
Movie 40,Action,1991,36,726,5.1,Quentin Tarantino,Christian Bale,124
Movie 41,Drama,2016,53,55,3.7,Christopher Nolan,Christian Bale,146
Movie 42,Comedy,2014,136,597,4.8,Christopher Nolan,Denzel Washington,161
Movie 43,Action,2016,53,324,3.8,Steven Spielberg,Christian Bale,91
Movie 44,Horror,2019,219,258,4.8,Martin Scorsese,Meryl Streep,144
Movie 45,Action,1992,135,411,6.6,James Cameron,Emma Stone,158
Movie 46,Action,1988,141,296,7.9,Martin Scorsese,Emma Stone,146
Movie 47,Drama,1985,112,296,5.9,Wes Anderson,Scarlett Johansson,149
Movie 48,Thriller,2012,38,807,4.2,Christopher Nolan,Tom Hanks,111
Movie 49,Sci-Fi,1981,64,169,6.6,Wes Anderson,Emma Stone,118
Movie 50,Comedy,1980,199,919,5.5,James Cameron,Emma Stone,161
Movie 51,Romance,1989,243,596,6.4,Wes Anderson,Meryl Streep,114
